"14_210",65273,"2014-02-11 10:36:42","2014-02-11 10:36:42","@@@initial::request@@@","{}","Fisica-1-PXI"
"14_210",65273,"2014-02-11 10:36:45","2014-02-11 10:36:45","GIVE_ME_LIBRARY","failed","Fisica-1-PXI"
"14_210",65273,"2014-02-11 10:36:56","2014-02-11 10:36:56","@@@finish@@@","None","Fisica-1-PXI"
"14_884",65314,"2014-02-12 10:04:09","2014-02-12 10:04:09","@@@initial::request@@@","{}","Fisica-1-PXI"
"14_884",65314,"2014-02-12 10:04:12","2014-02-12 10:04:12","GIVE_ME_LIBRARY","failed","Fisica-1-PXI"
"14_884",65314,"2014-02-12 10:07:26","2014-02-12 10:07:26","@@@finish@@@","None","Fisica-1-PXI"
"14_884",65320,"2014-02-12 10:12:04","2014-02-12 10:12:04","@@@initial::request@@@","{}","Fisica-1-PXI"
"14_884",65320,"2014-02-12 10:12:07","2014-02-12 10:12:07","GIVE_ME_LIBRARY","failed","Fisica-1-PXI"
"14_884",65320,"2014-02-12 10:13:30","2014-02-12 10:13:30","<protocol version=""1.3"">
  <login keepalive=""1""/>
</protocol>","<protocol version=""1.3"">
<login sessionkey=""d689237e8da24d93c406c6be22945d39"">
</login>
</protocol>
","Fisica-1-PXI"
"14_884",65320,"2014-02-12 10:13:31","2014-02-12 10:13:32","<protocol version=""1.3"">
  <request sessionkey=""d689237e8da24d93c406c6be22945d39"">
    <circuit>
      <circuitlist>W_X DMM_VHI A9
W_X DMM_VLO A6
R_X A6 A10 1k</circuitlist>
    </circuit>
    <multimeter/>
    <dcpower>
      <dc_outputs>
        <dc_output channel=""6V+"">
          <dc_voltage value=""0""/>
          <dc_current value=""0.5""/>
        </dc_output>
        <dc_output channel=""25V+"">
          <dc_voltage value=""0""/>
          <dc_current value=""0.5""/>
        </dc_output>
        <dc_output channel=""25V-"">
          <dc_voltage value=""0""/>
          <dc_current value=""0.5""/>
        </dc_output>
      </dc_outputs>
    </dcpower>
  </request>
</protocol>","<protocol version=""1.3"">
<response>
<multimeter>
<dmm_function value=""dc volts""/>
<dmm_resolution value=""4.5""/>
<dmm_range value=""-1.000000e+000""/>
<dmm_result value=""0.000000e+000""/>
</multimeter>
<dcpower>
<dc_outputs>
<dc_output channel=""6V+"">
<dc_voltage value=""0.000000e+000""/>
<dc_current value=""5.000000e-001""/>
<dc_voltage_actual value=""0.000000e+000""/>
<dc_current_actual value=""0.000000e+000""/>
<dc_output_enabled value=""1""/>
<dc_output_limited value=""0""/>
</dc_output>
<dc_output channel=""25V+"">
<dc_voltage value=""0.000000e+000""/>
<dc_current value=""5.000000e-001""/>
<dc_voltage_actual value=""0.000000e+000""/>
<dc_current_actual value=""0.000000e+000""/>
<dc_output_enabled value=""1""/>
<dc_output_limited value=""0""/>
</dc_output>
<dc_output channel=""25V-"">
<dc_voltage value=""0.000000e+000""/>
<dc_current value=""5.000000e-001""/>
<dc_voltage_actual value=""0.000000e+000""/>
<dc_current_actual value=""0.000000e+000""/>
<dc_output_enabled value=""1""/>
<dc_output_limited value=""0""/>
</dc_output>
</dc_outputs>
</dcpower>
</response>
</protocol>
","Fisica-1-PXI"
